Deutch,English
das,the
die,the
eine,one
so,so
von,from
uns,us
aus,out
schon,beautiful
wissen,to know
nach,after
ja,Yes
Mann,Man
ein,a
tun,do
zu,to
denn,then
einfach,easy
wollen,want
können,be able
na,n / A
Mr.,Mr.
bis,until
vielleicht,perhaps
wohl,probably
reden,talk
keine,no
paar,few
her,from
klar,clear
ihnen,them
los Los,go Go
Nacht,Night
Welt,World
weiter,further
gleich,same
man,one
leid,suffering
wieso,how come
als,as
Haus,a house
rein,pure
gehen 's es,go 's it
seit,since
stehen,stand
unser,our
heißen,mean
Kopf,head
Familie,family
fertig,finished
morgen,morning
Stadt,city
sterben,die
Ding,thing
Namen,Names
bekommen,to get
Dank,Thanks to
Junge,Young
warten,waiting
beide,both
n ein,no
Teufel,Devil
gern,gladly
Film,Movie
vorbei,over
verstehen,to understand
dran,your turn
Kerl,Guy
verdammen,condemn
all,Alles
dürfen,allowed to
euch,you
Land,country
Typ,Type
jeder,everyone
Schwester,sister
Geschichte,story
liegen,lie
Seite,side
überhaupt,at all
Ruhe,Quiet
fast,nearly
Tod,Death
einziger,only
schwer,difficult
eben,even
bestimmt bestimmen,determine
Entschuldigung,Excuse me
schlecht,bad
Teil,Part
zwischen,in between
Schatz,Treasure
können Können,be able to
nett,kind
kriegen,get
endlich,at last
heute Heute,today today
sollen Soll,should
holen,to fetch
oft,often
Wagen,Car
Eltern,parents
Schuld,fault
verdammt verdammen,condemn
nächster,nearest
vor,before
irgendwie,somehow
lernen,to learn
Schiff,Ship
vier,four
stimmen,voices
Menge,Crowd
Hölle,hell
wann,when
zwar,that is
eigener,own
New,New
haben 's es,have it it
schaffen,create
kaum,hardly
reichen,pass
lieben lieber,love
Folge,Consequence
drüben,over there
früher,previously
krank,Sick
leicht,easy
Idiot,idiot
Rest,rest
Tag tagen,Day days
entschuldigen,to apologize
Straße,Street
Million,million
wiedersehen Wiedersehen,reunion again
Zeug,Things
trotzdem,Nevertheless
kaufen,to buy
ändern,change
verletzen,violate
hart,hard
Gefängnis,prison
Sicherheit,security
ehrlich,honest
zehn,ten
Sinn,sense
Traum,Dream
Arschloch,asshole
heraus,out of here
damals,back then
wahrscheinlich,probably
