Deutch,English
ich,I
sein,be
ich,I
nicht,Not
sie Sie,she you
du,you
das,the
die,the
es,it
und,and
der,the
zu,to
sie,you
das,the
ein,a
in,in
wir,we
du Du,you you
mir,me
mit,With
was,What
der,the
mich,me
was,What
auf,on
dass,that
er,he
eine,one
es,it
haben,to have
wir,we
und,and
so,so
sein,be
von,from
dich,you
war,was
haben,to have
für,for
ja,Yes
hier,here
an,on
haben,to have
er,he
sein,be
wie,how
noch,still
dir,to you
uns,us
sich,itself
die,the
nur,only
ein,a
nein,no
der,the
ihn,him
auch,also
haben,to have
sein,be
ihr,her
da,there
aus,out
können,be able
aber,but
aber,but
schon,beautiful
wenn,if
werden,will
um,around
wie,how
als,as
sein,be
in,in
mal,times
doch,yet
gut,Well
mein,my
jetzt,now
wissen,to know
wenn,if
werden,will
der,the
nach,after
ja,Yes
oh,Oh
oder,or
dann,then
wollen,want
mein,my
mehr,more
kein,no
etwas,some
alles,all
müssen,have to
immer,always
nichts,Nothing
man,one
wieder,again
bei,at
haben,to have
machen,make
vor,before
Mann,Man
ihm,him
ein,a
tun,do
zu,to
können,be able
sagen,to say
werden,will
denn,then
sein,be
ein,a
warum,why
einer ein,one one
gehen,walk
sehen,see
sehr,very
gehen,walk
alle,Everyone
über,above
müssen,have to
dieser,this
einfach,easy
euch,you
der,the
nie,never
also,so
wo,Where
los,Come on
Zeit,time
ihnen Ihnen,them you
geben,give
wirklich,really
hey,hey
danke,thanks
dein,your
werden,will
sollen,must
da,there
haben,to have
hier,here
wissen,to know
bitte,You're welcome
viel,a lot of
dann,then
so,so
sagen,to say
ihr Ihr,You yours
an,on
kein,no
kommen,come
wer,who
zurück,return
werden,will
in,in
wollen,want
Frau,Woman
leben Leben,live life
sein,be
wo,Where
damit,in order to
nicht,Not
Gott,God
Leute,people
können,be able
heute,today
mein,my
dieser,this
dein,your
kommen,come
kommen,come
wollen,want
na,n / A
wollen,want
sicher,secure
ganz,all
jetzt,now
mein,my
Mr.,Mr.
also,so
zu,to
haben,to have
gut,Well
haben,to have
weil,because
tun,do
hallo,Hello
okay,OK
machen,make
sein,be
bis,until
vielleicht,perhaps
können,be able
ein,a
bitte Bitte,Please please
weg,away
sein,be
lassen,to let
Vater,Father
